college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur (Un-Aided)",,225461210,,Stage-I,GOPEN LOPEN,48042,,1,2024
2282,"Aditya Education Trusts Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed (Un-Aided)",,228224610,,Stage-I,GOPEN GNTB GNTD GOBC LOPEN LNTA EWS,35004,,1,2024
2516,International Centre Of Excellence In Engineering and Management (ICEEM) (Un-Aided),,251661210,,Stage-I,GOPEN GOBC LOPEN,44499,,1,2024
2533,"CSMSS Chh. Shahu College of Engineering, Chhatrapati Sambhajinagar (Un-Aided)",,253319110,,Stage-I,GOPEN GSC GST GNTB GOBC GSEBC LOPEN LSC LNTA LOBC LSEBC,41279,,1,2024
2533,"CSMSS Chh. Shahu College of Engineering, Chhatrapati Sambhajinagar (Un-Aided)",,253361210,,Stage-I,GOPEN GSC GNTA GNTB GNTC GNTD GOBC GSEBC LOPEN LSC LOBC PWD-O,31497,,1,2024
2641,Dr. V.K. Patil College of Engineering & Technology (Un-Aided),,264119110,,Stage-I,GOPEN GSC GNTC GOBC LOPEN EWS,27557,,1,2024
2641,Dr. V.K. Patil College of Engineering & Technology (Un-Aided),,264124210,,Stage-I,GOPEN GSC GOBC LOPEN PWD-O EWS,39931,,1,2024
2641,Dr. V.K. Patil College of Engineering & Technology (Un-Aided),,264161210,,Stage-I,GOPEN GNTB GOBC LOPEN,33725,,1,2024
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai (Government-Aided Autonomous)",,301261210,,Stage-I,GOPEN GOBC GSEBC LOPEN LSC LST EWS,18662,,1,2024
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere (University Managed)",,303337290,,Stage-I,GOPEN GSC GOBC GSEBC LOPEN LSC LOBC EWS,34181,,1,2024
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere (University Managed)",,303352710,,Stage-I,GOPEN GOBC LOPEN EWS,47713,,1,2024
3042,"Government College of Engineering, Ratnagiri (Government)",,304262410,,Stage-I,GOPEN GSC GNTB GNTC GOBC GSEBC LOPEN LSC LOBC LSEBC EWS,36991,,1,2024
3042,"Government College of Engineering, Ratnagiri (Government)",,304291810,,Stage-I,GOPEN GSC GST GNTA GNTC GOBC GSEBC LOPEN LSC LOBC LSEBC,35186,,1,2024
3146,"Jawahar Education Societys Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai (Un-Aided)",,314637210,,Stage-I,GOPEN GSC GNTC GOBC LOPEN LOBC EWS,42425,,1,2024
3146,"Jawahar Education Societys Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai (Un-Aided)",,314661210,,Stage-I,GOPEN GNTB GNTC GOBC LOPEN EWS,40404,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (Un-Aided)",,314719110,,Stage-I,GOPEN GSC GOBC LOPEN,41086,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (Un-Aided)",,314724610,,Stage-I,GOPEN GSC GNTB GNTC GOBC LOPEN LSC LOBC LSEBC,43501,,1,2024
