college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
3175,"M.g.m.s College of Engineering and Technology, Kamothe, Navi Mumbai (un-aided)",,317591210,,Stage-I,GOPENGSCGNTCGOBCGSEBCLOPENLNTBLNTDLOBCLSEBC,15068,,1,2024
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai (un-aided Autonomous Linguistic Minority - Hindi)",,317625910,,Stage-I,GOPENLOPENMI,21707,,1,2024
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,mumbai (un-aided Religious Minority - Christian)",,318461210,,Stage-I,GOPENLOPENMI,14813,,1,2024
3187,"N.y.s.s.s Datta Meghe College of Engineering, Airoli, Navi Mumbai (un-aided)",,318737210,,Stage-I,GOPENGSCGSTGNTAGOBCGSEBCLOPENLSCLNTDLOBCEWS,19376,,1,2024
3190,"Terna Engineering College, Nerul, Navi Mumbai (un-aided)",,319062410,,Stage-I,GOPENGSCGOBCGSEBCLOPENLSC,32342,,1,2024
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai (un-aided)",,319261210,,Stage-I,GOPENGSCGOBCLOPEN,46850,,1,2024
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,mumbai (un-aided)",,319324510,,Stage-I,GOPENGSCGNTAGNTBGNTCGOBCGSEBCLOPENLSCLNTDLOBCEWS,18882,,1,2024
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,mumbai (un-aided)",,319350710,,Stage-I,GOPENGSCGNTAGNTCGNTDGOBCGSEBCLOPENLSCLOBCPWDOEWS,48625,,1,2024
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,mumbai (un-aided)",,319361210,,Stage-I,GOPENGSCGNTDGOBCGSEBCLOPENEWS,40906,,1,2024
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,mumbai (un-aided)",,319392110,,Stage-I,GOPENGSCGOBCGSEBCLOPENLSCLNTALOBC,33380,,1,2024
3194,"Vidyavardhinis College of Engineering and Technology, Vasai (un-aided)",,319437210,,Stage-I,GOPENGOBCLOPENLOBCEWS,45937,,1,2024
3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai (un-aided Linguistic Minority - Hindi)",,319661210,,Stage-I,GOPENLOPENMI,40724,,1,2024
3198,"Konkan Gyanpeeth College of Engineering, Karjat (un-aided)",,319824510,,Stage-I,GOPENGSCGNTAGNTDGOBCGSEBCLOPENLSCLSTLOBC,33191,,1,2024
3198,"Konkan Gyanpeeth College of Engineering, Karjat (un-aided)",,319861210,,Stage-I,GOPENLOPEN,48230,,1,2024
3198,"Konkan Gyanpeeth College of Engineering, Karjat (un-aided)",,319899510,,Stage-I,GOPENGSCGOBCGSEBCLOPENLSC,43244,,1,2024
3200,"Hope Foundation and Research Centers Finolex Academy of Management and Technology, Ratnagiri (un-aided)",,320050710,,Stage-I,GOPENGNTBLOPEN,47283,,1,2024
3201,"Rizvi Education Societys Rizvi College of Engineering, Bandra,mumbai (un-aided Religious Minority - Muslim)",,320161210,,Stage-I,GOPENLOPENMI,39284,,1,2024
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh (un-aided),,320261210,,Stage-I,GOPENGSCGOBCLOPEN,46718,,1,2024
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh (un-aided),,320290010,,Stage-I,GOPENGOBCLOPEN,46747,,1,2024
3203,"Atharva College of Engineering,malad(west),mumbai (un-aided)",,320337210,,Stage-I,GOPENGSCGNTBGOBCGSEBCLOPENLOBC,37341,,1,2024
3204,"St. Francis Institute of Technology,borivali, Mumbai (un-aided Religious Minority - Christian)",,320437210,,Stage-I,GOPENLOPENMI,30134,,1,2024
3204,"St. Francis Institute of Technology,borivali, Mumbai (un-aided Religious Minority - Christian)",,320461210,,Stage-I,GOPENLOPENMI,28204,,1,2024
3206,"S.s.p.m.s College of Engineering, Kankavli (un-aided)",,320624510,,Stage-I,GOPENGOBCLOPENLSCLSTLNTCLOBCLSEBCEWS,32136,,1,2024
3206,"S.s.p.m.s College of Engineering, Kankavli (un-aided)",,320629310,,Stage-I,GOPENGSCGNTCGOBCGSEBCLOPENEWS,28789,,1,2024
3207,"Mahatma Education Societys Pillai College of Engineering, New Panvel (un-aided Autonomous Linguistic Minority - Malyalam)",,320760210,,Stage-I,GOPENLOPENMI,35900,,1,2024
3207,"Mahatma Education Societys Pillai College of Engineering, New Panvel (un-aided Autonomous Linguistic Minority - Malyalam)",,320761210,,Stage-I,GOPENLOPEN,15811,,1,2024
3208,"Don Bosco Institute of Technology, Mumbai (un-aided Religious Minority - Christian( Roman Catholics))",,320861210,,Stage-I,GOPENLOPENMI,16002,,1,2024
3211,"S.i.e.s. Graduate School of Technology, Nerul, Navi Mumbai (un-aided Linguistic Minority - Tamil)",,321161210,,Stage-I,GOPENLOPEN,27893,,1,2024
3215,"Bhartiya Vidya Bhavans Sardar Patel Institute of Technology , Andheri, Mumbai (un-aided Autonomous)",,321537210,,Stage-I,GOPENGSCGOBCGSEBCLOPENLSCLSTLNTBLNTDLOBCLSEBCPWDRSCEWS,14571,,1,2024
3216,"Gharda Foundations Gharda Institute of Technology,khed, Ratnagiri (un-aided)",,321619110,,Stage-I,GOPENGNTBLOPEN,47028,,1,2024
